word_table_index,word_section,word_object,module,excel_sheet,excel_start_row,excel_end_row,excel_section,excel_object,score,note
0,,医院名称：,M1,,0,0,,,0.0,未找到可信匹配，未填充
1,,物品/工具来源,M1,,0,0,,,0.0,未找到可信匹配，未填充
2,工作环境检测,工作环境检测,M1,1,9,19,工作环境检测,工作环境检测,182.0,已匹配
3,仪器维护保养,仪器维护保养,M1,1,22,22,仪器维护保养,仪器维护保养,152.0,已匹配
4,仪器基本状态检查,仪器基本状态检查,M1,1,36,51,仪器基本状态检查,仪器基本状态检查,182.0,已匹配
5,仪器压力状态检测,真空及压力检测,M1,1,54,61,仪器压力状态检测,真空及压力检测,170.75,已匹配
6,主机位置校准,主机位置校准,M1,1,67,67,主机位置校准,主机位置校准,152.0,已匹配
7,样本调度系统位置校准,SDM位置校准,M1,1,85,86,样本调度系统位置校准,SDM位置校准,164.0,已匹配
8,暗电流检测,内圈暗电流测试,M1,1,98,105,暗电流检测,内圈暗电流测试,167.0,已匹配
9,杂散光检测,50g/L的亚硝酸钠标准溶液,M1,1,117,127,杂散光检测,参考中华人民共和国医药行业标准YY/T0654-2017，用去离子水参比，在340nm处测定50g/L的亚硝酸钠标准溶液，检测仪器的杂散光水平。,138.0,已匹配
10,吸光度准确性检测,允许偏差,M1,1,130,133,吸光度准确性检测,参考中华人民共和国医药行业标准YY/T0654-2017，吸光度准确性应符合以下规定：,75.0,已匹配
11,吸光度准确性检测,1.0A 重铬酸钾,M1,1,135,143,吸光度准确性检测,1.0A 重铬酸钾,182.0,已匹配
12,吸光度准确性检测,0.5A 重铬酸钾,M1,1,145,153,吸光度准确性检测,0.5A 重铬酸钾,162.0,已匹配
13,吸光度重复性检测,1A橙黄G标准溶液,M1,1,157,183,吸光度重复性检测,1A橙黄G标准溶液,182.0,已匹配
14,吸光度稳定性检测,0.5A橙黄G溶液,M1,1,187,227,吸光度稳定性检测,0.5A橙黄G溶液,182.0,已匹配
15,吸光度稳定性检测,0.5A硫酸铜溶液,M1,1,229,269,吸光度稳定性检测,0.5A硫酸铜溶液,182.0,已匹配
16,吸光度线性范围检测,橙黄G(4.2A)11个梯度浓度的反应盘内圈吸光度线性值（450nm）,M1,1,272,284,吸光度线性范围检测,参考中华人民共和国医药行业标准YY/T0654-2017，要求相对偏倚在5%范围内的最大吸光度应不小于2.0,75.0,已匹配
17,吸光度线性范围检测,橙黄G(4.2A)11个梯度浓度的反应盘外圈吸光度线性值（450nm）,M1,1,286,298,吸光度线性范围检测,2、橙黄G(4.2A)11个梯度浓度的反应盘外圈吸光度线性值（450nm）,137.0,已匹配
18,吸光度线性范围检测,重铬酸钾（4.2A）11个梯度浓度的反应盘内吸光度线性值(340nm),M1,1,300,312,吸光度线性范围检测,3、重铬酸钾（4.2A）11个梯度浓度的反应盘内吸光度线性值(340nm),137.0,已匹配
19,吸光度线性范围检测,重铬酸钾（4.2A）11个梯度浓度的反应盘外吸光度线性值(340nm),M1,1,314,326,吸光度线性范围检测,4、重铬酸钾（4.2A）11个梯度浓度的反应盘外吸光度线性值(340nm),137.0,已匹配
20,加样准确度与重复性检测,样本针S1加样重复性测试结果：,M1,1,330,357,加样准确度与重复性检测,本测试方案采用加样色素法对加样的准确度与重复性进行测试。,82.5,已匹配
